validFor;ItemCode;ItemName;U_Kategori;U_Sub_Item;U_KonversiBeli;Gudang;Asemka;Tengsek;Nami;Harga Under;HargaLusin;HargaKoli;HargaSpecial;HargaUnlock;IsiCtn;Uom
--------;--------;--------;----------;----------;--------------;------;------;-------;----;-----------;----------;---------;------------;-----------;------;---
N;038C;GIWANG BUNGA GLITER BOX;AKSESORIS;SUBITEM INACTIVE;0.0;0.0;0.0;0.0;0.0;40000.0;36000.0;35000.0;34000.0;34000.0;25.0;PAK
N;1008B;JAM DIGITAL 1008 DIGIT BIRU;FANCY;SUBITEM INACTIVE;1.0;0.0;0.0;0.0;0.0;121000.0;110000.0;110000.0;110000.0;110000.0;1.0;PCS
N;1008M;JAM DIGITAL 1008 DIGIT MERAH;FANCY;SUBITEM INACTIVE;1.0;0.0;0.0;0.0;0.0;104500.0;95000.0;95000.0;95000.0;95000.0;1.0;PCS
N;1105b1;BANDO BESI SET + LIDI + TIPTOP;AKSESORIS RAMBUT;SUBITEM INACTIVE;12.0;0.0;0.0;0.0;0.0;50000.0;45000.0;44000.0;43000.0;45000.0;100.0;LSN
N;134-55;BUBBLE ELEKTRIK KAMERA BUNNY;AKSESORIS;SUBITEM INACTIVE;0.0;0.0;0.0;0.0;0.0;33000.0;30000.0;0.0;0.0;0.0;60.0;PCS
N;134-62;BUBBLE ELEKTRIK KAMERA DUCK;AKSESORIS;SUBITEM INACTIVE;0.0;0.0;0.0;0.0;0.0;61000.0;55000.0;0.0;0.0;0.0;1.0;PCS
N;1440B1;JEPIT SALON KUPU 4CM GLOSSY CROME;AKSESORIS RAMBUT;JEPIT SALON KUPU;12.0;0.0;0.0;0.0;0.0;30000.0;27000.0;26000.0;25000.0;27000.0;150.0;LSN
N;168;BUBBLE ELEKTRIK DINO BIRU;AKSESORIS;SUBITEM INACTIVE;0.0;0.0;0.0;0.0;0.0;50000.0;45000.0;45000.0;45000.0;45000.0;72.0;PCS
N;168-1;BUBBLE ELEKTRIK KAMERA CAT;AKSESORIS;SUBITEM INACTIVE;0.0;0.0;0.0;0.0;0.0;50000.0;45000.0;0.0;0.0;0.0;72.0;PCS
Y;181B;KAMINO K06A-181B1 KUNCIR K DONAT TEMP BUNGA KARET BOX (12 BOX);MARKETPLACE;PCS MARKETPLACE;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;PCS
N;18552;MAINAN LOL HAIR GOALS;AKSESORIS;SUBITEM INACTIVE;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;240.0;PCS
N;2019-001;MAINAN POOPSIE BULAT (MIN 12 PCS);AKSESORIS;SUBITEM INACTIVE;0.0;0.0;0.0;0.0;0.0;16500.0;15000.0;0.0;0.0;0.0;240.0;PCS
N;2019-16-1;MAINAN POOPSIE KAPSUL;AKSESORIS;SUBITEM INACTIVE;0.0;0.0;0.0;0.0;0.0;16500.0;15000.0;0.0;0.0;0.0;480.0;PCS
Y;2097A;LILIN BERAROMA BTK ASTRONOT PUTIH KAKI MIX W;ULANG TAHUN;LILIN ULTAH;1.0;0.0;0.0;0.0;0.0;15500.0;14000.0;12500.0;12000.0;14000.0;144.0;PCS
N;21302;LOL BONEKA BESAR;AKSESORIS;SUBITEM INACTIVE;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;600.0;PCS
N;21309;LOL SET B 1BONEKA BIRU;AKSESORIS;SUBITEM INACTIVE;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;192.0;PCS
N;21412A;LOL KEPALA BAJU BOTOL SUSU;AKSESORIS;SUBITEM INACTIVE;0.0;0.0;0.0;0.0;0.0;7700.0;7000.0;0.0;0.0;0.0;60.0;PCS
N;2311a;KIPAS PORTABLE BLT GAGANG KOTAK LIST SIMPLE;FANCY;SUBITEM INACTIVE;1.0;0.0;0.0;0.0;0.0;19500.0;17500.0;16000.0;15500.0;17500.0;144.0;PCS
N;244A;HAIR CLIP GRADASI WARNA;AKSESORIS RAMBUT;SUBITEM INACTIVE;12.0;0.0;0.0;0.0;0.0;36000.0;32500.0;31000.0;30000.0;30000.0;120.0;LSN
N;24780;LOL SHEEL BOX SATUAN B;AKSESORIS;SUBITEM INACTIVE;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;240.0;PCS
N;25-32;SLIME COCONUT MUD CRYSTAL BOTOL;AKSESORIS;SLIME;0.0;0.0;0.0;0.0;0.0;16500.0;15000.0;0.0;0.0;0.0;90.0;PCS
